Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar
135.453,6.22,156,0.95,3.31,1.17,2662.808480492612,3231.153972832737,674.2010526315789,2.0587515004002404
175.767,6.7,273,0.71,3.81,0.48,6546.997710450478,2823.6644243122582,750.1321126760563,4.108560222581854
174.367,6.2,289,0.81,3.53,0.89,4331.944309585089,3242.705098312484,711.6708641975308,4.430400000000001
67.767,6.92,391,0.99,2.47,1.05,1122.1759757794364,2709.4250516614106,635.4761616161616,6.685219595131607
104.587,6.34,229,0.65,2.47,0.54,1764.087716554952,3144.526102230515,720.0138461538461,3.2723190581172292
166.24,5.86,246,0.9,2.7,0.54,2742.5623683967438,3271.448115739806,660.3777777777777,3.5866873894192786
103.418,6.35,317,1.14,2.93,0.62,1739.4474157256911,3136.1971499218644,631.6908771929825,5.015219631424367
177.848,6.19,293,1.07,2.92,0.65,4464.8311451132695,3248.1241722823684,640.4927102803738,4.512281704965393
139.232,5.31,372,0.68,3.58,0.88,743.202530155069,2831.3749866443604,751.3341176470587,6.239900932943007
124.846,6.26,279,1.13,3.3,0.46,2345.2859647548,3205.364131778607,646.9929203539823,4.228175017350983
125.029,6.09,241,0.8,3.07,0.91,2002.5158674703016,3288.088105703083,696.66,3.493060881438933
155.295,6.23,288,1.11,2.02,0.48,3532.153933808474,3225.0333208891375,600.9041441441441,4.410017657249133
78.117,6.72,218,0.98,3.32,0.94,1310.9029394886268,2808.7728030753933,669.425306122449,3.074985141704705
118.634,5.72,236,1.09,3.08,0.97,1161.7972670596098,3191.2271969246067,643.8289908256882,3.4004006343951865
131.635,5.73,145,0.66,3.8,1.16,1450.635883076573,3198.3935595970956,766.8242424242424,1.8968249711399063
63.974,6.98,346,0.94,3.92,1.17,1037.022743022261,2700.5919814715185,699.1727659574468,5.6487776258059545
126.776,6.33,233,0.82,3.57,0.48,2570.163651204879,3152.7124247251113,710.7819512195122,3.345272514189107
88.01,6.21,214,1.16,2.81,1.06,1113.875664552014,3237.0465037127074,624.7110344827586,3.0044400891217182
