Throat_mm,MR,Channels,Width_mm,Height_mm,Wall_mm,Thrust_kN,Tc_K,Wall_Tmax_K,DeltaP_bar,Printable
16.358,6.23,131,1.06,3.49,0.4,39.19088617564288,3225.0333208891375,663.5633962264151,1.6994908253088057,True
14.021,6.95,242,0.72,2.61,0.63,48.923306786137616,2703.6934978214585,701.4022222222222,3.5117092024297434,True
15.78,6.94,126,0.68,3.45,0.75,61.594187458428614,2705.313824781393,746.3941176470588,1.63147719376044,True
12.246,6.54,165,0.69,2.47,0.81,28.345907156459724,2962.4000299307086,705.7440579710145,2.195570700383797,True
10.195,6.8,150,1.37,2.66,0.43,23.54514026156518,2757.294901687516,597.8683211678832,1.969693845669907,True
11.417,6.98,174,0.94,3.45,0.41,33.02822778636041,2700.5919814715185,681.3127659574468,2.33617410939159,True
17.319,6.71,211,0.69,3.58,0.64,63.999536569815085,2816.127883904107,747.9240579710145,2.9519616310211707,True
12.961,6.85,167,0.84,2.72,0.63,39.2956853786259,2732.6980427434896,673.8361904761905,2.2264924905715633,True
16.824,6.94,155,1.29,2.91,0.75,70.0138971186729,2705.313824781393,614.611007751938,2.043787550150603,True
12.356,6.34,179,1.31,3.45,0.57,24.621843338279962,3144.526102230515,633.2374045801527,2.415885424549182,True
13.081,6.56,123,1.24,3.92,0.79,32.82737730722279,2943.785605624283,657.9922580645161,1.5913087922306866,True
16.809,6.55,127,0.87,2.16,0.61,53.80480292518848,2953.069660487931,645.9880459770116,1.6449738512298,True
11.356,6.59,192,1.06,2.99,0.47,25.28992464640614,2916.302668188231,644.5633962264151,2.6283440323406366,True
14.454,6.19,184,1.15,2.34,0.52,29.490570113465306,3248.1241722823684,608.0504347826087,2.496717947032079,True
17.489,5.63,211,0.91,2.23,0.76,22.086113666490718,3119.144367190434,640.5641758241759,2.9519616310211707,True
15.568,6.12,221,1.28,2.9,0.89,31.988920437947854,3278.9329457664753,615.2,3.1283209545259116,True
14.56,6.07,188,1.37,3.16,0.75,26.610645811941456,3292.775028581624,616.8683211678832,2.562180903800634,True
10.777,6.65,130,1.06,3.64,0.43,23.774250806447405,2863.8028500781356,669.263396226415,1.6857824421031036,True
14.92,6.96,242,0.97,4.0,0.47,55.73337590472886,2702.3655896056566,696.9484536082474,3.5117092024297434,True
17.92,5.82,210,1.27,3.55,0.62,30.314056888398333,3253.298377650605,640.8842519685039,2.9345512933598257,True
11.121,6.53,141,0.62,2.44,0.77,23.20253534475473,2971.7675060044453,730.7845161290322,1.8394257874178772,True
17.019,6.55,149,1.28,3.07,0.78,55.15760078429763,2953.069660487931,621.66,1.9550214293954575,True
15.926,5.74,223,1.19,2.9,0.68,21.53116156466241,3205.364131778607,624.6537815126051,3.1640801189153454,True
15.62,5.73,112,1.31,3.4,0.68,20.425736241761545,3198.3935595970956,631.3374045801527,1.4482372698855492,True
12.876,6.22,131,0.88,3.36,0.7,24.06160599822175,3231.153972832737,689.4981818181818,1.6994908253088057,True
16.475,6.85,190,1.11,3.73,0.76,63.49195404637762,2732.6980427434896,665.8841441441441,2.595175410317714,True
